Position,Game,Publisher,Developer,VGChartz Score,Critic Score,User Score,Total Shipped,Release Date,Last Update
1549,"SEGA AGES G-LOC: Air Battle
Read the review",Unknown,M2,7.0,N/A,N/A,N/A,N/A,25th Apr 20
1550,"SEGA AGES Herzog Zwei
Read the review",Unknown,M2,7.0,N/A,N/A,N/A,N/A,03rd Oct 20
1551,SEGA Ages Sonic the Hedgehog 2,Sega,Sega,N/A,N/A,N/A,N/A,20th Feb 20,16th Jan 20
1552,"SEGA AGES Thunder Force AC
Read the review",Unknown,M2,8.0,N/A,N/A,N/A,N/A,14th May 20
1553,SEGA Ages: Alex Kidd in Miracle World,Unknown,Sega,N/A,N/A,N/A,N/A,N/A,15th Apr 18
1554,SEGA Ages: Gain Ground,Unknown,Sega,N/A,N/A,N/A,N/A,N/A,15th Apr 18
1555,SEGA Ages: Phantasy Star,Unknown,Sega,N/A,N/A,N/A,N/A,N/A,15th Apr 18
1556,SEGA Ages: Puyo Puyo,Sega,Sega,N/A,N/A,N/A,N/A,22nd Aug 19,13th Aug 19
1557,SEGA Ages: Sonic the Hedgehog,Sega,Sega,N/A,N/A,N/A,N/A,20th Sep 18,15th Apr 18
1558,SEGA Ages: Space Harrier,Sega,Sega,N/A,N/A,N/A,N/A,22nd Aug 19,13th Aug 19
1559,SEGA Ages: Thunder Force IV,Unknown,Sega,N/A,N/A,N/A,N/A,N/A,15th Apr 18
1560,Sega Ages: Virtua Racing,Sega,Sega,N/A,N/A,N/A,N/A,25th Apr 19,20th Apr 19
1561,Semblance,Unknown,Nyamakop,N/A,N/A,N/A,N/A,N/A,03rd Jul 18
1562,Semispheres,Vivid Helix,Vivid Helix,N/A,N/A,N/A,N/A,03rd Mar 17,25th Mar 18
1563,Senran Kagura: Peach Ball,Xseed Games,Marvelous,N/A,N/A,N/A,N/A,09th Jul 19,04th Jul 19
1564,"Sentinels of Freedom
Read the review",Unknown,Underbite Games,4.0,N/A,N/A,N/A,N/A,24th Aug 20
1565,Sephirothic Stories,Kemco,Exe Create Inc.,N/A,N/A,N/A,N/A,04th Apr 19,31st Mar 19
1566,Serial Cleaner,Curve Digital,iFun4all,N/A,N/A,N/A,N/A,30th Nov 17,01st Mar 18
1567,Serious Sam: Tormental,Unknown,Gungrounds,N/A,N/A,N/A,N/A,N/A,24th Apr 22
1568,Severed,DrinkBox Studios,DrinkBox Studios,N/A,N/A,N/A,N/A,08th Aug 17,01st Jan 18
1569,Shadow Bug,Muro Studios,Muro Studios,N/A,N/A,N/A,N/A,30th Mar 18,25th Mar 18
1570,Shadowverse: Champion's Battle,Cygames,Cygames,N/A,N/A,N/A,N/A,05th Nov 20,29th May 20
1571,"Shakedown Hawaii
Read the review",Vblank Entertainment Inc.,Vblank Entertainment Inc.,7.0,N/A,N/A,N/A,07th May 19,01st Feb 18
1572,"Shantae
Read the review",WayForward,WayForward,N/A,N/A,N/A,N/A,22nd Apr 21,02nd Sep 20
1573,Shantae and the Pirate's Curse,WayForward,WayForward,N/A,N/A,N/A,N/A,20th Mar 18,04th Jul 18
1574,"Shantae and the Seven Sirens
Read the review",WayForward,WayForward,7.0,N/A,N/A,N/A,28th May 20,02nd Oct 19
1575,"Shantae: Risky's Revenge
Read the review",WayForward,WayForward Technologies,7.0,N/A,N/A,N/A,15th Oct 20,10th Jul 20
1576,She Remembered Caterpillars,Ysbryd Games,Jumpsuit Entertainment,N/A,N/A,N/A,N/A,28th Mar 19,22nd Mar 19
1577,Shephy,Arc System Works,Arc System Works,N/A,N/A,N/A,N/A,06th Jul 17,03rd Jan 18
1578,Shibito Magire,Experience Inc.,Experience Inc.,N/A,N/A,N/A,N/A,01st Dec 21,14th Jan 20
1579,"Shiftlings - Enhanced Edition
Read the review",Unknown,Rock Pocket Ltd,5.0,N/A,N/A,N/A,N/A,09th Feb 18
1580,Shin Hayarigami 1 and 2 Pack,Nippon Ichi Software,Nippon Ichi Software,N/A,N/A,N/A,N/A,18th Jul 19,25th Apr 19
1581,Shin Megami Tensei III: Nocturne HD Remaster,Atlus,Atlus,N/A,N/A,N/A,N/A,25th May 21,21st Jul 20
1582,"Shinsekai: Into the Depths
Read the review",Capcom,Capcom,7.0,N/A,N/A,N/A,26th Mar 20,03rd Apr 20
1583,Shiren the Wanderer: The Tower of Fortune and the Dice of Fate,Aksys Games,ChunSoft,N/A,N/A,N/A,N/A,02nd Dec 20,10th Jun 20
1584,"Shovel Knight Showdown
Read the review",Unknown,Yacht Club Games,6.0,N/A,N/A,N/A,N/A,08th Dec 19
1585,"Shovel Knight: King of Cards
Read the review",Unknown,Yacht Club Games,8.0,N/A,N/A,N/A,N/A,08th Dec 19
1586,Shovel Knight: Specter of Torment,Yacht Club Games,Yacht Club Games,N/A,N/A,N/A,N/A,03rd Mar 17,25th Mar 18
1587,Shu,Coatsink Software,Coatsink Software,N/A,N/A,7.5,N/A,23rd Jan 18,25th Mar 18
1588,Sir Eatsalot,EastAsiaSoft,Behind the Stone,N/A,N/A,N/A,N/A,09th Jan 20,10th Jan 20
1589,SkateBIRD,Unknown,Glass Bottom Games,N/A,N/A,N/A,N/A,N/A,12th Jun 21
1590,Skies of Fury DX,Illumination Games,Seed Interactive,N/A,N/A,N/A,N/A,12th Apr 18,04th Apr 18
1591,"Skully
Read the review",Unknown,Finish Line Games,5.0,N/A,N/A,N/A,N/A,08th Aug 20
1592,Sky Force Anniversary,Infinite Dreams Inc.,Infinite Dreams Inc.,N/A,N/A,N/A,N/A,08th Nov 18,26th Nov 18
1593,"Sky Force Reloaded
Read the review",Infinite Dreams Inc.,Infinite Dreams Inc.,6.0,N/A,N/A,N/A,01st Feb 18,28th Jan 18
1594,Sky Ride,MUTAN,MUTAN,N/A,N/A,N/A,N/A,17th Aug 17,25th Mar 18
1595,SlabWell: The Quest For Kaktun's Alpaca,Undergames,Undergames,N/A,N/A,N/A,N/A,17th Apr 19,20th Apr 19
1596,Slain: Back From Hell,Digerati,Stage Clear Studios,N/A,N/A,N/A,N/A,07th Dec 17,25th Mar 18
1597,Slam Land,Unknown,Bread Machine Games,N/A,N/A,N/A,N/A,N/A,10th Jul 18
1598,Slay the Spire,Mega Crit Games,Mega Crit Games,N/A,N/A,N/A,N/A,06th Jun 19,24th Mar 19
1599,Slayaway Camp: Butcher's Cut,Digerati,Digerati,N/A,N/A,8.9,N/A,22nd Mar 18,25th Mar 18
1600,"Slayin 2
Read the review",Unknown,Pixel Licker,7.0,N/A,N/A,N/A,N/A,04th May 20
1601,Slime-san,Fabraz,Fabraz,N/A,N/A,N/A,N/A,03rd Aug 17,25th Mar 18
1602,Sling Ming,Good Night Brave Warrior,Good Night Brave Warrior,N/A,N/A,N/A,N/A,05th Apr 18,25th Mar 18
1603,"Sludge Life
Read the review",Unknown,Terri Vellmann,5.5,N/A,N/A,N/A,N/A,02nd Jun 21
1604,"Smelter
Read the review",Unknown,X Plus Company Limited,7.0,N/A,N/A,N/A,N/A,15th Apr 21
1605,"Smoke and Sacrifice
Read the review",Unknown,Solar Sail Games,6.0,N/A,N/A,N/A,N/A,15th May 18
1606,Snake Pass,Sumo Digital,Sumo Digital,N/A,N/A,N/A,N/A,28th Mar 17,10th Jan 18
1607,Sniper Elite 3 Ultimate Edition,U&I Entertainment,Rebellion Games,N/A,N/A,N/A,N/A,01st Oct 19,01st Aug 19
1608,Sniper Elite 4,Rebellion Developments,Rebellion Developments,N/A,N/A,N/A,N/A,17th Nov 20,05th Nov 21
1609,Sniper Elite V2 Remastered,U&I Entertainment,Rebellion Games,N/A,N/A,N/A,N/A,15th May 19,13th May 19
1610,Soi Kano: Gyutto Dakishimete,Entergram,Giga,N/A,N/A,N/A,N/A,21st Feb 19,09th Mar 19
1611,SOL DIVIDE: Sword of Darkness,Zerodiv,ZeroDiv,N/A,N/A,N/A,N/A,22nd Mar 18,25th Mar 18
1612,SolSeraph,Unknown,ACE Team,N/A,N/A,N/A,N/A,N/A,29th Jun 19
1613,Song of Memories,Unknown,"Future Tech Lab Co.,Ltd.",N/A,N/A,N/A,N/A,N/A,03rd Feb 18
1614,Sonic Colors Ultimate,Sega,Sonic Team,N/A,N/A,N/A,N/A,07th Sep 21,15th Jun 21
1615,Sonic Frontiers,Unknown,Sonic Team,N/A,N/A,N/A,N/A,N/A,10th Dec 21
1616,Sonic Origins,Sega,Sega,N/A,N/A,N/A,N/A,23rd Jun 22,27th Apr 22
1617,"Souldiers
Read the review",Unknown,Retro Forge,6.5,N/A,N/A,N/A,N/A,01st Apr 22
1618,South Park: The Stick of Truth,Ubisoft,Obsidian Entertainment,N/A,N/A,9.1,N/A,25th Sep 18,18th Jul 18
1619,Space Dave,Choice Provisions,Choice Provisions,N/A,N/A,N/A,N/A,25th Jan 18,25th Mar 18
1620,Space Invaders Forever,Unknown,Taito,N/A,N/A,N/A,N/A,N/A,10th Dec 20
1621,Space Invaders: Invincible Collection,Taito,Taito,N/A,N/A,N/A,N/A,26th Mar 20,10th Jan 20
1622,"Space War Arena
Read the review",Unknown,Playchemy,7.0,N/A,N/A,N/A,N/A,08th Mar 19
1623,Spacecats with Lasers,Bitten Toast Games,Bitten Toast Games,N/A,N/A,N/A,N/A,22nd Feb 18,25th Mar 18
1624,Sparkle 2,10tons Ltd,10tons Ltd,N/A,N/A,N/A,N/A,28th Sep 17,06th Apr 19
1625,Sparkle 2 EVO,Forever Entertainment S.A.,Forever Entertainment S.A.,N/A,N/A,N/A,N/A,02nd Nov 17,25th Mar 18
1626,Sparkle 3 Genesis,Forever Entertainment S.A.,Forever Entertainment S.A.,N/A,N/A,N/A,N/A,15th Mar 18,06th Apr 19
1627,Sparkle Unleashed,Unknown,10tons Ltd,N/A,N/A,N/A,N/A,N/A,07th Jan 18
1628,"Sparklite
Read the review",Unknown,Red Blue Games,8.0,N/A,N/A,N/A,N/A,14th Nov 19
1629,Spartan,Sinister Cyclops,Sinister Cyclops,N/A,N/A,N/A,N/A,01st Apr 18,25th Mar 18
1630,Spellbreak,Proletariat Inc.,Proletariat Inc.,N/A,N/A,N/A,N/A,03rd Sep 20,30th Aug 20
1631,Spellspire,10tons,10tons Ltd,N/A,N/A,N/A,N/A,09th Nov 17,25th Mar 18
1632,Spelunker Party!,Square Enix,Tozai Games,N/A,N/A,N/A,N/A,19th Oct 17,25th Mar 18
1633,"Sphinx and the Cursed Mummy
Read the review",THQ Nordic,Eurocom,7.0,N/A,N/A,N/A,29th Jan 19,30th Dec 18
1634,Spidersaurs,Unknown,WayForward,N/A,N/A,N/A,N/A,N/A,03rd Mar 22
1635,Spiral Splatter,Sometimes You,Sometimes You,N/A,N/A,N/A,N/A,13th Mar 18,25th Mar 18
1636,Spirit Hunter: NG,Aksys Games,Experience Inc.,N/A,N/A,N/A,N/A,10th Oct 19,01st May 20
1637,"Spiritfarer
Read the review",Thunder Lotus Games,Thunder Lotus Games,8.0,N/A,N/A,N/A,18th Aug 20,06th Aug 19
1638,Splasher,Plug In Digital,Plug In Digital,N/A,N/A,N/A,N/A,26th Oct 17,25th Mar 18
1639,Splatoon 3,Nintendo,Nintendo,N/A,N/A,N/A,N/A,09th Sep 22,17th Feb 21
1640,SpongeBob SquarePants: Battle for Bikini Bottom - Rehydrated,THQ Nordic,THQ Nordic,N/A,N/A,N/A,N/A,23rd Jun 20,31st Jan 21
1641,SpongeBob SquarePants: The Cosmic Shake,Unknown,Purple Lamp,N/A,N/A,N/A,N/A,N/A,18th Sep 21
1642,Sports Story,Sidebar Games,Sidebar Games,N/A,N/A,N/A,N/A,01st Dec 20,19th Dec 19
1643,Spot The Difference: Ultimate Edition,Sabec Limited,Sabec Limited,N/A,N/A,N/A,N/A,26th Feb 18,26th Mar 18
1644,Spy Chameleon - RGB Agent,Unfinished Pixel,Unfinished Pixel,N/A,N/A,N/A,N/A,09th Mar 18,09th Aug 18
1645,Spyro Reignited Trilogy,"Activision Publishing, Inc.",Toys for Bob,N/A,N/A,N/A,N/A,03rd Sep 19,13th Jun 19
1646,Squareboy vs Bullies: Arena Edition,Ratalaika Games,Ratalaika Games,N/A,N/A,6.5,N/A,12th Oct 17,25th Mar 18
1647,Star Ghost,Rainy Frog,Squarehead Studios,N/A,N/A,N/A,N/A,30th Nov 17,25th Mar 18
1648,Star Ocean First Departure R,Unknown,Square Enix,N/A,N/A,N/A,N/A,N/A,25th May 19
1649,Star Ocean: First Departure R,Square Enix,Square Enix,N/A,N/A,N/A,N/A,05th Dec 19,24th Sep 19
1650,Star Wars  Episode I: Racer,Aspyr,LucasArts,N/A,N/A,N/A,N/A,23rd Jun 20,08th Nov 21
1651,Star Wars Jedi Knight II: Jedi Outcast,Aspyr,Aspyr,N/A,N/A,N/A,N/A,24th Sep 19,08th Nov 21
1652,Star Wars Jedi Knight: Jedi Academy,Aspyr,Raven Software,N/A,N/A,N/A,N/A,26th Mar 20,08th Nov 21
1653,"Star Wars Pinball
Read the review",Unknown,Zen Studios,7.0,N/A,N/A,N/A,N/A,01st Oct 19
1654,Star Wars: Hunters,Unknown,NaturalMotion Games,N/A,N/A,N/A,N/A,N/A,17th Feb 21
1655,"Star Wars: Republic Commando
Read the review",Aspyr,Aspyr,N/A,N/A,N/A,N/A,06th Apr 21,06th Apr 21
1656,Stardew Valley,Chucklefish,ConcernedApe,N/A,9.0,N/A,N/A,05th Oct 17,11th Feb 19
1657,Stardust Galaxy Warriors: Stellar Climax,Unknown,Dreamloop Games,N/A,N/A,N/A,N/A,N/A,08th Jul 18
1658,Steam Tactics,Unknown,Igor Rashkuev,N/A,N/A,N/A,N/A,N/A,31st Jul 20
1659,SteamWorld Dig: A Fistful of Dirt,Image & Form Games,Image & Form Games,N/A,N/A,N/A,N/A,01st Feb 18,19th Mar 18
1660,SteamWorld Heist: Ultimate Edition,Image & Form International AB,Image & Form Games,N/A,N/A,N/A,N/A,28th Dec 17,21st Mar 18
1661,SteamWorld Quest: Hand of Gilgamech,Thunderful Publishing AB,Image & Form Games,N/A,N/A,N/A,N/A,25th Apr 19,22nd Mar 19
1662,Steep,Ubisoft,Ubisoft Annecy,N/A,N/A,N/A,N/A,01st Dec 18,17th Jan 18
1663,Steins;Gate: Divergencies Assort,5pb,5pb. Inc.,N/A,N/A,N/A,N/A,20th Mar 19,22nd Mar 19
1664,Steins;Gate: My Darling's Embrace,Spike Chunsoft,5pb. Inc.,N/A,N/A,N/A,N/A,10th Dec 19,11th Dec 19
1665,Steredenn: Binary Stars,Plug In Digital,Pixelnest,N/A,N/A,N/A,N/A,08th Mar 18,25th Mar 18
1666,Steven Universe: Save the Light / OK K.O.! Let’s Play Heroes,Outright Games,Outright Games,N/A,N/A,N/A,N/A,19th Mar 19,04th Aug 18
1667,Stick Fight: The Game,Landfall Games,Landfall,N/A,N/A,N/A,N/A,01st Apr 21,08th Nov 21
1668,Stick It To The Man,Zoink Games,Zoink Games,N/A,N/A,N/A,N/A,23rd Nov 17,25th Mar 18
1669,Stikbold! A Dodgeball Adventure DELUXE,Unknown,Game Swing,N/A,N/A,8.0,N/A,N/A,07th Jan 18
1670,Still There,Iceberg Interactive,GhostShark,N/A,N/A,N/A,N/A,01st Dec 19,13th Aug 19
1671,Stories Untold,Devolver Digital,No Code,N/A,N/A,N/A,N/A,16th Jan 20,14th Jan 20
1672,Story of Seasons: Friends of Mineral Town,Xseed Games,Marvelous,N/A,N/A,N/A,N/A,14th Jul 20,11th May 20
1673,"Stranded Sails: Explorers of the Cursed Islands
Read the review",Unknown,Lemonbomb Entertainment,5.0,N/A,N/A,N/A,N/A,27th Oct 19
1674,Strange Brigade,Unknown,Rebellion Developments,N/A,N/A,N/A,N/A,N/A,15th Jun 21
1675,Stranger Things 3: The Game,"Netflix, Inc.",BonusXP,N/A,N/A,N/A,N/A,04th Jul 19,06th Jun 19
1676,Street Outlaws 2: Winner Takes All,GameMill Entertainment,Team6 Game Studios,N/A,N/A,N/A,N/A,21st Sep 21,30th Oct 21
1677,Street Outlaws 2: Winner Takes All - Blazing Freedom Bundle,Unknown,Team6 Game Studios,N/A,N/A,N/A,N/A,N/A,21st Jan 22
1678,Street Outlaws 2: Winner Takes All - Lizzy Musi Bundle,Unknown,Team6 Game Studios,N/A,N/A,N/A,N/A,N/A,21st Jan 22
1679,Street Outlaws 2: Winner Takes All - Ryan Martin Bundle,Unknown,Team6 Game Studios,N/A,N/A,N/A,N/A,N/A,21st Jan 22
1680,Street Outlaws 2: Winner Takes All - Skull Noir Bundle,Unknown,Team6 Game Studios,N/A,N/A,N/A,N/A,N/A,21st Jan 22
1681,Street Outlaws 2: Winner Takes All - Stargazer Bundle,Unknown,Team6 Game Studios,N/A,N/A,N/A,N/A,N/A,21st Jan 22
1682,Street Outlaws 2: Winner Takes All - Steel Thunder Bundle,Unknown,Team6 Game Studios,N/A,N/A,N/A,N/A,N/A,21st Jan 22
1683,Street Outlaws 2: Winner Takes All - The 70s Bundle,Unknown,Team6 Game Studios,N/A,N/A,N/A,N/A,N/A,21st Jan 22
1684,Street Outlaws 2: Winner Takes All - The 80s Bundle,Unknown,Team6 Game Studios,N/A,N/A,N/A,N/A,N/A,21st Jan 22
1685,"Streets of Rage 4
Read the review",DotEmu,Lizardcube,8.0,N/A,N/A,N/A,30th Apr 20,25th Nov 19
1686,"Streets Of Rage 4 - Mr. X Nightmare
Read the review",Unknown,Lizardcube,7.0,N/A,N/A,N/A,N/A,25th Jul 21
1687,Streets of Red: Devil's Dare Deluxe,Secret Base,Secret Base,N/A,N/A,N/A,N/A,12th Apr 18,06th Feb 18
1688,"Streets of Rogue
Read the review",Unknown,Matt Dabrowski,7.0,N/A,N/A,N/A,N/A,13th Jul 19
1689,Strikers 1945,Zerodiv,ZeroDiv,N/A,N/A,N/A,N/A,03rd Aug 17,25th Mar 18
1690,Strikers 1945 II,Zerodiv,ZeroDiv,N/A,N/A,N/A,N/A,25th Jan 18,25th Mar 18
1691,Strikers 1945 III,Unknown,ZeroDiv,N/A,N/A,N/A,N/A,N/A,16th Jan 20
1692,Stubbs the Zombie in Rebel Without a Pulse,Aspyr,Aspyr Media,N/A,N/A,N/A,N/A,16th Mar 21,08th Nov 21
1693,SubaraCity,Flyhigh Works,Flyhigh Works,N/A,N/A,N/A,N/A,31st Aug 18,27th Jun 18
1694,Subnautica: Below Zero,Unknown,Unknown Worlds Entertainment,N/A,N/A,N/A,N/A,N/A,30th Jul 21
1695,Subsurface Circular,Ant Workshop,Mike Bithell Games,N/A,N/A,N/A,N/A,01st Mar 18,18th Feb 18
1696,Sudoku Relax,G-mode,G-mode,N/A,N/A,N/A,N/A,18th Apr 19,20th Apr 19
1697,Summer in Mara,Unknown,Chibig,N/A,N/A,N/A,N/A,N/A,21st Jan 19
1698,Summer Pockets,Prototype,Key,N/A,N/A,N/A,N/A,20th Jun 19,26th Mar 19
1699,"Super Animal Royale
Read the review",Unknown,Pixile,6.0,N/A,N/A,N/A,N/A,27th Aug 21
1700,Super Beat Sports,Harmonix Music Systems,Harmonix Music Systems,N/A,N/A,N/A,N/A,02nd Nov 17,25th Mar 18
1701,"Super Blood Hockey
Read the review",Digerati,Loren Lemcke,6.0,N/A,N/A,N/A,26th Apr 19,23rd Apr 19
1702,Super Chariot,Unknown,Microids,N/A,N/A,N/A,N/A,10th May 18,25th Mar 18
1703,"Super Crush KO
Read the review",Unknown,Vertex Pop,6.0,N/A,N/A,N/A,N/A,10th Jan 20
1704,"Super Daryl Deluxe
Read the review",Dan & Gary Games,Dan & Gary Games,8.0,N/A,N/A,N/A,10th Apr 18,23rd Mar 18
1705,Super Destronaut DX,Ratalaika Games,Petite Games,N/A,N/A,N/A,N/A,13th Jul 18,06th May 19
1706,Super Dragon Ball Heroes: World Mission,Bandai Namco Entertainment,Dimps Corporation,N/A,N/A,N/A,N/A,05th Apr 19,22nd Mar 19
1707,Super Epic: The Entertainment War,Unknown,Undercoders,N/A,N/A,N/A,N/A,N/A,09th Mar 22
1708,Super Kirby Clash,Nintendo,HAL Laboratory,N/A,N/A,N/A,N/A,04th Sep 19,26th Jul 20
1709,Super Mario Bros. 35,Nintendo,Nintendo,N/A,N/A,N/A,N/A,01st Oct 20,03rd Sep 20
1710,Super Meat Boy,BlitWorks,Team Meat,N/A,N/A,8.0,N/A,11th Jan 18,25th Mar 18
1711,"Super Meat Boy Forever
Read the review",Team Meat,Team Meat,6.0,N/A,N/A,N/A,26th Dec 20,13th Feb 18
1712,Super Mega Baseball 3,Metalhead Software Inc.,Metalhead Software Inc.,N/A,N/A,N/A,N/A,13th May 20,30th Apr 20
1713,"Super Monkey Ball: Banana Blitz HD
Read the review",Sega,Sega,6.0,N/A,N/A,N/A,29th Oct 19,31st Jan 21
1714,Super Monkey Ball: Banana Mania,Unknown,Sega,N/A,N/A,N/A,N/A,N/A,15th Jun 21
1715,"Super Mutant Alien Assault
Read the review",Unknown,Cybernate,6.0,N/A,N/A,N/A,N/A,04th Jul 19
1716,Super Neptunia RPG,Idea Factory International,Idea Factory,N/A,N/A,N/A,N/A,31st Mar 19,29th Dec 18
1717,Super One More Jump,SMG Studio,SMG Studio,N/A,N/A,N/A,N/A,25th Jan 18,25th Mar 18
1718,Super Ping Pong Trick Shot,Starsign,SIMS,N/A,N/A,N/A,N/A,19th Oct 17,25th Mar 18
1719,Super Robot Wars T,Bandai Namco Games,B.B. Studio,N/A,N/A,N/A,N/A,20th Mar 19,22nd Mar 19
1720,Super Robot Wars V,Bandai Namco Entertainment,B.B. Studio,N/A,N/A,N/A,N/A,01st Dec 20,08th Aug 19
1721,Super Rocket Shootout,Plug In Digital,Oddly Shaped Pixels,N/A,N/A,N/A,N/A,06th Mar 18,25th Mar 18
1722,Super Sportmatchen,DANGEN Entertainment,Kaj Forell Video Game Brand,N/A,N/A,8.5,N/A,24th May 18,04th Jun 18
1723,Super Toy Cars,Eclipse Games,Eclipse Games,N/A,N/A,N/A,N/A,02nd Mar 18,25th Mar 18
1724,Superbrothers: Sword & Sworcery EP,Capybara Games,Capybara Games,N/A,N/A,N/A,N/A,30th Oct 18,08th Dec 18
1725,SUPERHOT,Unknown,SUPERHOT Team,N/A,N/A,N/A,N/A,N/A,24th May 22
1726,Superliminal,Pillow Castle,Pillow Castle,N/A,N/A,N/A,N/A,07th Jul 20,01st Jul 20
1727,Superola and the Lost Burgers,Undergames,Undergames,N/A,N/A,N/A,N/A,22nd Feb 18,25th Mar 18
1728,Swim Out,Lozange Lab,Lozange Lab,N/A,N/A,N/A,N/A,20th Mar 18,25th Mar 18
1729,Sword Art Online: Fatal Bullet,Bandai Namco Entertainment,Dimps Corporation,N/A,N/A,N/A,N/A,09th Aug 19,24th Jun 19
1730,Sword Art Online: Hollow Realization,Bandai Namco Entertainment,Kadokawa Games,N/A,N/A,N/A,N/A,24th May 19,22nd Mar 19
1731,Swordbreaker The Game,Unknown,DuCats Games Studio,N/A,N/A,N/A,N/A,N/A,01st Oct 20
1732,Syberia 3,Anuman,Anuman Interactive,N/A,N/A,N/A,N/A,01st Jan 18,25th Mar 18
1733,Synergia,Unknown,Radi Art,N/A,N/A,N/A,N/A,N/A,13th Apr 21
1734,Tachyon Project,Eclipse Games,Eclipse Games,N/A,N/A,N/A,N/A,25th Jan 18,26th Mar 18
1735,Tactical Mind,QubicGames,Drageus Games / QubicGames S.A.,N/A,N/A,N/A,N/A,22nd Dec 17,07th Jan 18
1736,Taishou x Alice: All in One,Prototype,Prototype,N/A,N/A,N/A,N/A,18th Apr 19,22nd Mar 19
1737,"Taito Milestones
Read the review",Unknown,Taito,N/A,N/A,N/A,N/A,N/A,15th Jun 21
1738,Tales From Space: Mutant Blobs Attack,Unknown,DrinkBox Studios,N/A,N/A,N/A,N/A,N/A,10th May 19
1739,Tales from the Borderlands,2K Games,2K Games,N/A,N/A,N/A,N/A,24th Mar 21,17th Feb 21
1740,Tales of the Tiny Planet,Pixelsplit,Pixelsplit,N/A,N/A,N/A,N/A,17th Jan 18,01st Mar 18
1741,Tales of Vesperia: Definitive Edition,Bandai Namco Entertainment,Bandai Namco Studios,N/A,N/A,N/A,N/A,11th Jan 19,23rd Jan 19
1742,Tallowmere,Teyon,Teyon,N/A,N/A,N/A,N/A,09th Nov 17,26th Mar 18
1743,Tangledeep,Impact Gameworks,Impact Gameworks,N/A,N/A,9.7,N/A,31st Jan 19,30th Mar 19
1744,Tanzia,Unknown,Arcanity,N/A,N/A,N/A,N/A,N/A,03rd Jul 18
1745,TASOMACHI: Behind the Twilight,Unknown,Orbital Express,N/A,N/A,N/A,N/A,N/A,13th Jun 21
1746,Taxi Chaos,Unknown,Team 6 Games Studio,N/A,N/A,N/A,N/A,N/A,09th Mar 21
1747,Team Sonic Racing,Sega,Sumo Digital,N/A,N/A,N/A,N/A,21st May 19,22nd Mar 19
1748,"Teenage Mutant Ninja Turtles: Shredder's Revenge
Read the review",DotEmu,Tribute Games,8.0,N/A,N/A,N/A,16th Jun 22,10th Jun 22
1749,Telling Lies,Annapurna Interactive,Sam Barlow,N/A,N/A,N/A,N/A,28th Apr 20,27th Apr 20
1750,TENGAI,Zerodiv,ZeroDiv,N/A,N/A,N/A,N/A,29th Mar 18,26th Mar 18
1751,Tennis,D3Publisher,D3Publisher,N/A,N/A,N/A,N/A,25th Jan 18,26th Mar 18
1752,"Tennis 1920s
Read the review",Unknown,Helium9 Games,5.0,N/A,N/A,N/A,N/A,20th Jul 20
1753,Tennis in the Face,Myth People,Myth People,N/A,N/A,N/A,N/A,08th Dec 17,04th Feb 18
1754,Tennis World Tour 2,Nacon,Big Ant Studios,N/A,N/A,N/A,N/A,15th Oct 20,28th Sep 20
1755,"Terraria
Read the review",505 Games,Re-Logic,7.0,N/A,N/A,N/A,27th Jun 19,23rd Sep 19
1756,Terror of Hemasaurus,Unknown,Loren Lemcke,N/A,N/A,N/A,N/A,N/A,30th Aug 21
1757,Tesla vs Lovecraft,10tons,10tons Ltd,N/A,N/A,N/A,N/A,16th Mar 18,25th Mar 18
1758,Teslagrad,Rain Games,Rain Games,N/A,N/A,N/A,N/A,07th Dec 17,22nd Apr 19
1759,Test Drive Unlimited Solar Crown,Unknown,KT Racing,N/A,N/A,N/A,N/A,N/A,23rd Sep 21
1760,TETRA's Escape,Unknown,ABX Games,N/A,N/A,N/A,N/A,N/A,24th Jul 18
1761,Tetris 99,Nintendo,Arika,N/A,N/A,N/A,N/A,13th Feb 19,14th Feb 19
1762,Tetris Effect: Connected,Enhance,"Tetris Online, Inc",N/A,N/A,N/A,N/A,08th Oct 21,06th Nov 21
1763,The Adventures of Bertram Fiddle: Episode 1 - A Dreadly Business,Chorus Worldwide Games,Rumpus Animation,N/A,N/A,N/A,N/A,29th Mar 18,06th May 19
1764,The Alliance Alive HD Remastered,NIS America,Cattle Call,N/A,N/A,N/A,N/A,08th Oct 19,16th Apr 19
1765,The Almost Gone,Playdigious,Happy Volcano,N/A,N/A,N/A,N/A,01st Dec 20,07th Aug 19
1766,"The Aquatic Adventure of the Last Human
Read the review",Digerati,YCJY,7.0,N/A,N/A,N/A,03rd Jan 19,22nd Dec 18
1767,The Banner Saga,Versus Evil,Stoic Studio,N/A,N/A,N/A,N/A,17th May 18,24th Sep 18
1768,The Banner Saga 2,Versus Evil,Stoic Studio,N/A,N/A,N/A,N/A,07th Jun 18,30th Sep 18
1769,The Banner Saga 3,Versus Evil,Stoic Studio,N/A,N/A,N/A,N/A,26th Jul 18,06th Oct 18
1770,The Binding of Isaac: Repentance,Unknown,Edmund McMillen,N/A,N/A,N/A,N/A,N/A,02nd Aug 21
1771,The Book of Unwritten Tales 2,THQ Nordic,KING Art Games,N/A,N/A,8.5,N/A,31st May 19,17th Dec 18
1772,The Bradwell Conspiracy,Unknown,A Brave Plan,N/A,N/A,N/A,N/A,N/A,16th Oct 19
